ACTIVE_MONTHS_BALANCE_SIZE_MEAN,BURO_CREDIT_ACTIVE_Closed_MEAN,BURO_DAYS_CREDIT_MEAN,BURO_MONTHS_BALANCE_SIZE_MEAN,CC_AMT_BALANCE_MEAN,CC_AMT_RECEIVABLE_PRINCIPAL_MEAN,CC_AMT_RECIVABLE_MEAN,CC_AMT_TOTAL_RECEIVABLE_MEAN,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,CC_CNT_DRAWINGS_CURRENT_MAX,CC_CNT_DRAWINGS_CURRENT_MEAN,CC_COUNT,DAYS_BIRTH,DAYS_EMPLOYED_PERC,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,PREV_CODE_REJECT_REASON_XAP_MEAN,PREV_NAME_CONTRACT_STATUS_Approved_MEAN,SK_ID_CURR
10.5,0.6666666666666666,-922.6666666666666,30.875,1586.805,1490.6275000000005,1557.805,1557.805,0.0384615384615384,2.0,0.037037037037037,54.0,-18312,0.1487003058103975,0.5691416138129107,0.6006637648660784,0.0534780873611726,0.5454545454545454,0.4545454545454545,106914
8.0,0.8571428571428571,-445.7857142857143,15.214285714285714,47438.83384615384,46518.62884615385,47042.14153846154,47042.14153846154,0.4615384615384615,5.0,0.7692307692307693,13.0,-11163,0.1466451670697841,0.1909973184381066,0.3064360974760724,0.2692857999073816,0.44,0.16,112535
32.2,0.5,-1314.1,43.5,33991.41609375,32542.8384375,33990.3103125,33990.3103125,0.2083333333333333,3.0,0.21875,96.0,-15530,0.0466194462330972,0.4975763925347209,0.6515943059778407,0.4048783643353997,0.625,0.5,129230
24.75,0.7333333333333333,-1281.9333333333334,42.66666666666666,146446.6703773585,138375.27764150943,145240.294245283,145240.294245283,0.3725490196078431,4.0,0.7924528301886793,53.0,-12995,0.1487495190457868,0.4254857485308725,0.4057507207246687,0.1317701325313814,0.3928571428571428,0.3571428571428571,151186
20.875,0.6190476190476191,-1221.3333333333333,40.61904761904762,71512.16219999999,68050.485,71176.617,71176.617,0.2608695652173913,9.0,1.0,25.0,-18006,0.2023214484060868,0.4844789957434613,0.5904986448005032,0.2276129150623945,0.3636363636363636,0.3636363636363636,165140
35.0,0.6923076923076923,-1163.1538461538462,38.84615384615385,183107.34529411767,178931.23411764705,182769.5223529412,182769.5223529412,0.2941176470588235,8.0,1.5294117647058822,17.0,-13685,0.2856412130069419,0.6109323476870574,0.3981340382277393,0.3842068130556564,0.5,0.4090909090909091,175310
17.5,0.6666666666666666,-1163.3333333333333,38.75,103622.3085,100226.774,103592.4305,103592.4305,0.2,11.0,2.111111111111111,90.0,-14308,0.2657953592395862,0.4474325417681331,0.3599074385713948,0.5937175866150576,0.6428571428571429,0.5714285714285714,180962
13.75,0.5,-1417.125,47.0,14815.507968750002,14235.748125,14747.70140625,14747.70140625,0.1041666666666666,3.0,0.1145833333333333,96.0,-11052,0.3269091567137169,0.3840486512388971,0.6971340133661049,0.501075160239048,0.6666666666666666,0.6666666666666666,194429
42.333333333333336,0.7857142857142857,-1402.071428571429,46.642857142857146,453627.7528846153,437532.06634615385,451475.3007692308,451475.3007692308,0.6153846153846154,8.0,2.6153846153846154,26.0,-11045,0.0202806699864191,0.5112624519416992,0.6094164036599291,0.0769844691464778,0.3478260869565217,0.2608695652173913,230077
20.666666666666668,0.7692307692307693,-1647.5384615384614,54.76923076923077,24133.80084269663,23183.2754494382,24116.76151685393,24116.76151685393,0.0449438202247191,3.0,0.0561797752808988,89.0,-14857,0.0296156693814363,0.3351309951697158,0.4415126635876269,0.3791004853998145,0.6666666666666666,0.5,241191
19.5,0.8181818181818182,-1187.0,39.45454545454545,53352.75222222222,50678.92333333333,53349.41611111111,53349.41611111111,0.1975308641975308,5.0,0.1975308641975308,81.0,-10761,0.0116160208159093,0.3685714193681341,0.6389869928145633,0.1873887653772306,0.75,0.75,253488
11.5,0.8947368421052632,-1276.0,42.526315789473685,1639.4942045454543,1566.6161931818183,1529.9841477272726,1529.9841477272726,0.0,1.0,0.0113636363636363,88.0,-16036,0.010414068346221,0.6310243572559618,0.6759108552906562,0.5513812618027899,0.5714285714285714,0.5714285714285714,254940
21.625,0.7037037037037037,-1212.2962962962963,40.407407407407405,180613.15714285715,174309.17014285715,179382.98571428572,179382.98571428572,1.1428571428571428,22.0,1.8571428571428568,35.0,-14326,0.3754711712969426,0.0742768082919373,0.2728290503930719,0.4276573700350293,0.5625,0.5625,274791
27.8,0.6428571428571429,-978.7857142857144,32.714285714285715,16551.59625,15974.754107142857,16319.582678571427,16319.582678571427,0.1428571428571428,13.0,1.2142857142857142,28.0,-10576,0.138142965204236,0.1734369699250211,0.4421382386954749,0.2608559142068693,0.4166666666666667,0.4166666666666667,292463
16.333333333333332,0.6923076923076923,-1139.6923076923076,38.0,20806.36837078652,19605.42404494382,20770.070561797755,20770.070561797755,0.4431818181818182,4.0,0.4382022471910112,89.0,-11928,0.0473675385647216,0.23929948401562,0.2518770396779223,0.3979463219016906,0.5,0.375,304361
27.166666666666668,0.7391304347826086,-1335.695652173913,43.69565217391305,135670.45500000002,130529.54903225806,135172.8856451613,135172.8856451613,0.3870967741935484,9.0,1.3870967741935485,31.0,-16521,0.4820531444827794,0.6869363297190344,0.6648461135724144,0.1446481462546413,0.7142857142857143,0.4285714285714285,315244
22.4,0.5,-925.6,31.1,144765.53653846154,141582.65192307692,144750.2953846154,144750.2953846154,0.0,10.0,2.3846153846153846,13.0,-13442,0.2406635917274215,0.4391497742897394,0.6305308836945713,0.2707073872651806,0.6923076923076923,0.4615384615384615,352962
34.5,0.5,-1588.125,52.75,79601.37174418605,74162.10558139534,79439.1823255814,79439.1823255814,1.1111111111111112,17.0,2.186046511627907,86.0,-18082,0.1024222984183165,0.4801574930615288,0.5390487743864711,0.228883416700673,0.6666666666666666,0.6666666666666666,368683
41.5,0.7777777777777778,-1436.6666666666667,47.77777777777778,318672.4791891892,307936.9933783784,317496.62675675674,317496.62675675674,1.027027027027027,14.0,2.1621621621621623,37.0,-14274,0.1772453411797674,0.5834701915418918,0.5853226534648034,0.5673792367572691,0.6,0.35,373390
28.0,0.7,-1679.4,55.8,2973.58640625,2814.463125,2786.068125,2786.068125,0.0,0.0,0.0,96.0,-14747,0.0153251508781447,0.6074304680829775,0.3367964441405644,0.5989262182569273,0.5555555555555556,0.3333333333333333,373545
59.5,0.6923076923076923,-1610.7692307692307,53.46153846153846,23758.23421875,22528.956093750003,23757.21046875,23757.21046875,0.0581395348837209,1.0,0.0520833333333333,96.0,-15871,0.0242580807762585,0.5634405495757964,0.5771046701274962,0.5954562029091491,0.5714285714285714,0.5714285714285714,379503
8.666666666666666,0.7,-730.1,24.5,43309.557,43157.883,43157.883,43157.883,0.0,42.0,20.666666666666668,15.0,-10129,0.231019844012242,0.2588062582845085,0.0778702782658905,0.3807996826489149,0.6153846153846154,0.3846153846153846,381178
31.0,0.6428571428571429,-1585.357142857143,56.46153846153846,371949.58557692304,360208.20461538463,371822.7530769231,371822.7530769231,0.0384615384615384,13.0,1.8461538461538465,26.0,-12400,0.1075,0.35957305890837,0.5000838869674272,0.3672910183026313,0.5714285714285714,0.5714285714285714,382147
29.428571428571427,0.5333333333333333,-1409.2666666666669,46.8,130116.7377,126421.5834,130200.5142,130200.5142,0.02,24.0,2.86,50.0,-14328,0.0169597989949748,0.2008450762974568,0.6948668761879163,0.3312508645909018,0.75,0.625,382872
23.22222222222222,0.4375,-1118.4375,37.25,8871.13840909091,8384.166818181817,8721.927613636364,8721.927613636364,0.2307692307692307,2.0,0.0681818181818181,44.0,-20067,0.1204465042108935,0.8386009844002891,0.3667818195760428,0.3457848024695955,0.7777777777777778,0.6666666666666666,407783
56.6,0.5454545454545454,-1985.8181818181813,65.81818181818181,99517.38703125,95191.903125,99513.2521875,99513.2521875,0.1979166666666666,2.0,0.25,96.0,-22518,0.5289546140865086,0.6910579140927108,0.6586691071878081,0.3233112448967859,0.2608695652173913,0.2608695652173913,416272
25.0,0.896551724137931,-1466.6896551724135,48.72413793103448,36430.37015625,34953.09609375,36263.3203125,36263.3203125,0.15625,5.0,0.15625,32.0,-12872,0.2673244251087632,0.6351023120247287,0.1844794862672633,0.3280631605201915,0.5925925925925926,0.4814814814814814,422839
